city,state,lat,lng
Akutan,AK,54.134300,-165.775150
Anchor Point,AK,59.776670,-151.831390
Anchorage,AK,61.218060,-149.900280
Badger,AK,64.800000,-147.533330
Bear Creek,AK,60.164170,-149.395000
Bethel,AK,60.792220,-161.755830
Big Lake,AK,61.521390,-149.954440
Butte,AK,61.542220,-149.033330
Chevak,AK,61.527780,-165.586390
Cohoe,AK,60.368610,-151.306390
College,AK,64.856940,-147.802780
Cordova,AK,60.543200,-145.758670
Craig,AK,55.476390,-133.148330
Deltana,AK,63.872170,-145.217730
Diamond Ridge,AK,59.676110,-151.557500
Dillingham,AK,59.039720,-158.457500
Dutch Harbor,AK,53.889800,-166.542200
Eagle River,AK,61.321390,-149.567780
Eielson Air Force Base,AK,64.663270,-147.054420
Elmendorf Air Force Base,AK,61.257030,-149.631390
Ester,AK,64.847220,-148.014440
Fairbanks,AK,64.837780,-147.716390
Farm Loop,AK,61.638910,-149.142150
Farmers Loop,AK,64.908220,-147.698660
Fishhook,AK,61.744020,-149.236130
Fritz Creek,AK,59.736110,-151.295280
Funny River,AK,60.501940,-150.762220
Gateway,AK,61.572780,-149.240830
Girdwood,AK,60.942500,-149.166390
Haines,AK,59.235950,-135.445330
Healy,AK,63.856940,-148.966110
Homer,AK,59.642500,-151.549400
Hooper Bay,AK,61.531110,-166.096670
Houston,AK,61.630280,-149.818060
Juneau,AK,58.301940,-134.419720
Kalifornsky,AK,60.418330,-151.290000
Kenai,AK,60.554440,-151.258330
Ketchikan,AK,55.341800,-131.647570
King Cove,AK,55.060870,-162.318530
Knik-Fairview,AK,61.512620,-149.600120
Kodiak,AK,57.788520,-152.405330
Kodiak Station,AK,57.765870,-152.600040
Kotzebue,AK,66.898460,-162.598090
Lakes,AK,61.607130,-149.308610
Lazy Mountain,AK,61.626110,-148.945560
Meadow Lakes,AK,61.624720,-149.601110
Metlakatla,AK,55.129050,-131.576980
Nikiski,AK,60.690280,-151.288890
Nome,AK,64.501110,-165.406390
North Pole,AK,64.751110,-147.349440
Palmer,AK,61.599410,-149.114560
Petersburg,AK,56.812500,-132.955560
Prudhoe Bay,AK,70.255280,-148.337220
Ridgeway,AK,60.531940,-151.085280
Salcha,AK,64.523990,-146.902100
Sand Point,AK,55.335970,-160.500710
Seward,AK,60.104260,-149.443500
Sitka,AK,57.053150,-135.330880
Skagway,AK,59.458330,-135.313890
Soldotna,AK,60.487780,-151.058330
Sterling,AK,60.537220,-150.764720
Susitna North,AK,62.161290,-149.850750
Sutton-Alpine,AK,61.710410,-148.894070
Tanaina,AK,61.626940,-149.428060
Tok,AK,63.336670,-142.985560
Unalaska,AK,53.874130,-166.534080
Utqiagvik,AK,71.290580,-156.788720
Valdez,AK,61.130830,-146.348330
Wasilla,AK,61.580900,-149.441500
Willow,AK,61.747220,-150.037500
Wrangell,AK,56.470830,-132.376670
Abbeville,AL,31.571840,-85.250490
Adamsville,AL,33.600940,-86.956110
Alabaster,AL,33.244280,-86.816380
Albertville,AL,34.267830,-86.208780
Alexander City,AL,32.944010,-85.953850
Alexandria,AL,33.773990,-85.885520
Aliceville,AL,33.129570,-88.151420
Andalusia,AL,31.308080,-86.482430
Anniston,AL,33.659830,-85.831630
Arab,AL,34.318150,-86.495820
Argo,AL,33.687780,-86.500510
Ashford,AL,31.182960,-85.236320
Ashland,AL,33.273730,-85.836070
Ashville,AL,33.837040,-86.254420
Athens,AL,34.802430,-86.972190
Atmore,AL,31.023790,-87.493870
Attalla,AL,34.021760,-86.088590
Auburn,AL,32.609860,-85.480780
Ballplay,AL,34.058710,-85.808020
Bay Minette,AL,30.882960,-87.773050
Bayou La Batre,AL,30.403520,-88.248520
Bear Creek,AL,34.274820,-87.700580
Berry,AL,33.659830,-87.600010
Bessemer,AL,33.401780,-86.954440
Birmingham,AL,33.520660,-86.802490
Blountsville,AL,34.081490,-86.591100
Blue Ridge,AL,32.492640,-86.190520
Boaz,AL,34.200650,-86.166370
Brent,AL,32.937350,-87.164720
Brewton,AL,31.105180,-87.072190
Bridgeport,AL,34.947580,-85.714420
Brighton,AL,33.434280,-86.947210
Brook Highland,AL,33.435660,-86.673880
Brookside,AL,33.637880,-86.916660
Brookwood,AL,33.255670,-87.320830
Brundidge,AL,31.720160,-85.816060
Butler,AL,32.089590,-88.221970
Bynum,AL,33.613160,-85.961080
Cahaba Heights,AL,33.464000,-86.731930
Calera,AL,33.102900,-86.753600
Camden,AL,31.990980,-87.290550
Carbon Hill,AL,33.891770,-87.526120
Carlisle-Rockledge,AL,34.114450,-86.124070
Carrollton,AL,33.261690,-88.095030
Cedar Bluff,AL,34.220090,-85.607740
Center Point,AL,33.645660,-86.683600
Centre,AL,34.152040,-85.678850
Centreville,AL,32.946200,-87.116690
Chalkville,AL,33.653160,-86.647770
Chatom,AL,31.465170,-88.254460
Chelsea,AL,33.340110,-86.630260
Cherokee,AL,34.757030,-87.972810
Chickasaw,AL,30.763800,-88.074720
Childersburg,AL,33.278170,-86.354980
Choccolocco,AL,33.659270,-85.703570
Citronelle,AL,31.090730,-88.228060
Clanton,AL,32.838740,-86.629430
Clay,AL,33.702600,-86.599710
Clayton,AL,31.878220,-85.449660
Cleveland,AL,33.990930,-86.577490
Clio,AL,31.708780,-85.610500
Coaling,AL,33.159010,-87.340830
Collinsville,AL,34.263980,-85.860530
Columbiana,AL,33.178170,-86.607210
Concord,AL,33.467610,-87.031110
Coosada,AL,32.497910,-86.331360
Cordova,AL,33.759830,-87.183330
Cottonwood,AL,31.048790,-85.304930
Cowarts,AL,31.200180,-85.304650
Creola,AL,30.891850,-88.039720
Crossville,AL,34.287590,-85.994140
Cullman,AL,34.174820,-86.843610
Dadeville,AL,32.831240,-85.763570
Daleville,AL,31.310170,-85.712990
Danville,AL,34.414540,-87.087510
Daphne,AL,30.603530,-87.903600
Dauphin Island,AL,30.255480,-88.109720
Deatsville,AL,32.608190,-86.395810
Decatur,AL,34.605930,-86.983340
Demopolis,AL,32.517640,-87.836400
Dixiana,AL,33.740210,-86.649380
Dora,AL,33.728720,-87.090280
Dothan,AL,31.223230,-85.390490
Double Springs,AL,34.146370,-87.402470
East Brewton,AL,31.093230,-87.062750
East Florence,AL,34.809530,-87.649470
Eclectic,AL,32.635410,-86.034410
Elba,AL,31.414610,-86.067720
Elberta,AL,30.414360,-87.597760
Elmore,AL,32.538740,-86.314970
Emerald Mountain,AL,32.447930,-86.094290
Enterprise,AL,31.315170,-85.855220
Eufaula,AL,31.891270,-85.145490
Eutaw,AL,32.840590,-87.887620
Evergreen,AL,31.433500,-86.956920
Fairfield,AL,33.485940,-86.911940
Fairhope,AL,30.522970,-87.903330
Falkville,AL,34.368430,-86.908620
Fayette,AL,33.684550,-87.830850
Fayetteville,AL,33.145670,-86.405810
Flint City,AL,34.523150,-86.970290
Flomaton,AL,31.000180,-87.260810
Florala,AL,31.005180,-86.328000
Florence,AL,34.799810,-87.677250
Foley,AL,30.406590,-87.683600
Forestdale,AL,33.570110,-86.896380
Fort Deposit,AL,31.984590,-86.578590
Fort Novosel,AL,31.342820,-85.715380
Fort Payne,AL,34.444250,-85.719690
Frisco City,AL,31.433500,-87.401380
Fultondale,AL,33.604830,-86.793880
Fyffe,AL,34.446760,-85.904140
Gadsden,AL,34.014340,-86.006390
Gardendale,AL,33.660100,-86.812770
Geneva,AL,31.032960,-85.863820
Georgiana,AL,31.637100,-86.741920
Glencoe,AL,33.957040,-85.932470
Good Hope,AL,34.115930,-86.863610
Goodwater,AL,33.065670,-86.053300
Gordo,AL,33.320120,-87.902800
Grand Bay,AL,30.476310,-88.342230
Grayson Valley,AL,33.648160,-86.639430
Graysville,AL,33.620660,-86.971380
Greensboro,AL,32.704150,-87.595500
Greenville,AL,31.829600,-86.617750
Grove Hill,AL,31.708770,-87.777220
Guin,AL,33.965660,-87.914750
Gulf Shores,AL,30.246040,-87.700820
